State,"AgeAdjustedDeathRatesF-per100,1000",AgeLconfF,AgeUconfF,AverageAnnualCountF,Recent5-YearTrendF,RLconfF,RUconfF,RecentTrend,TrendF,"AgeAdjustedDeathRate-CasesPer100,000",AgeLconfM,AgeUconfM,AverageAnnualCountM,Recent5-YearTrendIncidenceRates,RLconfM,RUconfM,TrendM,RecentTrendM,AgeAdjustedDeathRateA,LconfA,UconfA,AverageAnnualCount,Recent5YrTrend,RLconfA,RUconfA,RecentTrendA,TrendA
Oregon,4.5,4.1,4.9,115.0,-1.5,-1.9,-1.0,falling,-1,8.9,8.3,9.5,181.0,-1.1,-1.6,-0.6,falling,-1,6.4,6.1,6.7,296.0,-5.8,-11.7,0.4,stable,0
Pennsylvania,5.4,5.1,5.6,504.0,-0.9,-1.2,-0.7,falling,-1,9.3,9.0,9.7,650.0,-0.8,-1.0,-0.5,falling,-1,7.0,6.8,7.2,1153.0,-0.8,-0.9,-0.6,falling,-1
Rhode Island,4.7,4.0,5.4,37.0,-0.7,-1.7,0.2,stable,0,9.2,8.0,10.4,49.0,-0.3,-1.0,0.4,stable,0,6.5,5.9,7.2,86.0,-0.4,-0.9,0.2,stable,0
South Carolina,5.0,4.7,5.4,151.0,-0.8,-1.2,-0.4,falling,-1,9.2,8.6,9.8,208.0,-0.5,-1.1,0.1,stable,0,6.7,6.4,7.0,358.0,-0.5,-0.9,-0.1,falling,-1
South Dakota,5.7,4.8,6.7,32.0,-0.4,-1.2,0.4,stable,0,10.4,9.1,11.9,46.0,-0.6,-1.5,0.4,stable,0,7.8,7.0,8.6,78.0,-0.3,-1.0,0.3,stable,0
Tennessee,5.1,4.8,5.4,211.0,-1.1,-1.6,-0.7,falling,-1,9.6,9.1,10.1,296.0,-0.7,-1.1,-0.3,falling,-1,7.0,6.7,7.3,506.0,-0.8,-1.1,-0.5,falling,-1
Texas,4.9,4.7,5.1,653.0,-1.2,-1.5,-0.8,falling,-1,8.9,8.7,9.2,916.0,-1.1,-1.3,-0.8,falling,-1,6.6,6.5,6.8,1569.0,-1.0,-1.2,-0.8,falling,-1
Utah,5.2,4.6,5.8,65.0,-0.6,-1.5,0.4,stable,0,8.6,7.8,9.5,89.0,-0.4,-1.4,0.6,stable,0,6.7,6.2,7.2,154.0,-0.4,-1.1,0.4,stable,0
Vermont,4.6,3.8,5.6,21.0,-1.2,-2.5,0.0,stable,0,9.0,7.6,10.7,30.0,-0.7,-1.7,0.2,stable,0,6.6,5.8,7.4,51.0,-0.9,-1.7,0.0,stable,0
Virginia,4.5,4.3,4.8,219.0,-1.4,-1.7,-1.0,falling,-1,8.5,8.1,8.9,313.0,-1.0,-1.4,-0.6,falling,-1,6.2,6.0,6.4,532.0,-1.1,-1.3,-0.8,falling,-1
Washington,5.0,4.7,5.3,207.0,-0.9,-1.3,-0.5,falling,-1,8.5,8.1,9.0,277.0,-3.2,-5.1,-1.4,falling,-1,6.5,6.3,6.8,484.0,-0.9,-1.2,-0.6,falling,-1
West Virginia,6.0,5.4,6.7,82.0,-0.8,-1.3,-0.2,falling,-1,10.0,9.2,11.0,103.0,-0.6,-1.2,0.0,stable,0,7.7,7.2,8.3,185.0,-0.6,-1.0,-0.1,falling,-1
Wisconsin,5.5,5.2,5.8,212.0,-1.0,-1.4,-0.6,falling,-1,9.9,9.4,10.4,288.0,-6.2,-13.0,1.1,stable,0,7.4,7.1,7.7,500.0,-0.7,-1.0,-0.3,falling,-1
Wyoming,6.2,5.0,7.6,20.0,-0.1,-1.5,1.3,stable,0,9.4,7.9,11.2,27.0,-0.6,-1.5,0.2,stable,0,7.6,6.7,8.7,47.0,-0.3,-1.2,0.5,stable,0
